airportStp
{name:FAT}
{name:LAX}
{name:ABQ}
{name:SMF}
{name:DEN}
{name:LAS}
{name:IAH}
{name:AUS}
{name:CRP}
{name:MFE}
{name:DFW}
{name:TUL}
{name:TUS}
{name:IAD}
{name:EWR}
{name:ORD}
{name:ORF}
{name:MCO}
{name:FLL}
{name:LGA}
{name:BWI}
{name:BOS}
{name:MIA}
{name:RSW}
{name:GRR}
{name:PIT}
{name:OMA}
{name:BDL}
{name:MSY}
{name:ROC}
{name:MSN}
{name:FAR}
{name:TPA}
{name:SGF}
{name:SJC}
{name:CMH}
{name:MEM}
{name:SFO}
{name:PSP}
{name:PDX}
{name:RNO}
{name:PHX}
{name:SEA}
{name:OKC}
{name:BZN}
{name:PBI}
{name:SNA}
